sampleName	cellAnno	cellIden
human3_lib4.final_cell_0813	beta	4
human3_lib4.final_cell_0814	beta	4
human3_lib4.final_cell_0815	beta	4
human3_lib4.final_cell_0816	beta	4
human3_lib4.final_cell_0817	gamma	9
human3_lib4.final_cell_0818	endothelial	7
human3_lib4.final_cell_0819	quiescent_stellate	12
human3_lib4.final_cell_0820	alpha	3
human3_lib4.final_cell_0821	alpha	3
human3_lib4.final_cell_0822	beta	4
human3_lib4.final_cell_0823	beta	4
human3_lib4.final_cell_0824	beta	4
human3_lib4.final_cell_0825	ductal	6
human3_lib4.final_cell_0826	ductal	6
human3_lib4.final_cell_0827	beta	4
human3_lib4.final_cell_0828	quiescent_stellate	12
human3_lib4.final_cell_0829	alpha	3
human3_lib4.final_cell_0830	alpha	3
human3_lib4.final_cell_0831	alpha	3
human3_lib4.final_cell_0832	activated_stellate	2
human3_lib4.final_cell_0833	acinar	1
human3_lib4.final_cell_0834	beta	4
human3_lib4.final_cell_0835	alpha	3
human3_lib4.final_cell_0836	alpha	3
human3_lib4.final_cell_0837	ductal	6
human3_lib4.final_cell_0838	alpha	3
human3_lib4.final_cell_0839	beta	4
human3_lib4.final_cell_0840	alpha	3
human3_lib4.final_cell_0841	beta	4
human3_lib4.final_cell_0842	endothelial	7
human3_lib4.final_cell_0843	ductal	6
human3_lib4.final_cell_0844	endothelial	7
human3_lib4.final_cell_0845	beta	4
human3_lib4.final_cell_0846	quiescent_stellate	12
human3_lib4.final_cell_0847	endothelial	7
human3_lib4.final_cell_0848	alpha	3
human3_lib4.final_cell_0849	alpha	3
human3_lib4.final_cell_0850	beta	4
human3_lib4.final_cell_0851	alpha	3
human3_lib4.final_cell_0852	activated_stellate	2
human3_lib4.final_cell_0853	quiescent_stellate	12
human3_lib4.final_cell_0854	alpha	3
human3_lib4.final_cell_0855	beta	4
human3_lib4.final_cell_0856	alpha	3
human3_lib4.final_cell_0857	alpha	3
human3_lib4.final_cell_0858	beta	4
human3_lib4.final_cell_0859	activated_stellate	2
human3_lib4.final_cell_0860	beta	4
human3_lib4.final_cell_0861	alpha	3
human3_lib4.final_cell_0862	beta	4
human3_lib4.final_cell_0863	delta	5
human3_lib4.final_cell_0864	quiescent_stellate	12
human3_lib4.final_cell_0865	alpha	3
human3_lib4.final_cell_0866	beta	4
human3_lib4.final_cell_0867	beta	4
human3_lib4.final_cell_0868	alpha	3
human3_lib4.final_cell_0869	beta	4
human3_lib4.final_cell_0870	alpha	3
human3_lib4.final_cell_0871	beta	4
human3_lib4.final_cell_0872	delta	5
human3_lib4.final_cell_0873	ductal	6
human3_lib4.final_cell_0874	alpha	3
human3_lib4.final_cell_0875	beta	4
human3_lib4.final_cell_0876	endothelial	7
human3_lib4.final_cell_0877	beta	4
human3_lib4.final_cell_0878	beta	4
human3_lib4.final_cell_0879	alpha	3
human3_lib4.final_cell_0880	alpha	3
human3_lib4.final_cell_0881	alpha	3
human3_lib4.final_cell_0882	alpha	3
human3_lib4.final_cell_0883	schwann	13
human3_lib4.final_cell_0884	alpha	3
human3_lib4.final_cell_0885	beta	4
human3_lib4.final_cell_0886	macrophage	10
human3_lib4.final_cell_0887	endothelial	7
human3_lib4.final_cell_0888	ductal	6
human3_lib4.final_cell_0889	beta	4
human3_lib4.final_cell_0890	alpha	3
human3_lib4.final_cell_0891	alpha	3
human3_lib4.final_cell_0892	quiescent_stellate	12
human3_lib4.final_cell_0893	acinar	1
human3_lib4.final_cell_0894	ductal	6
human3_lib4.final_cell_0895	alpha	3
human3_lib4.final_cell_0896	beta	4
human3_lib4.final_cell_0897	alpha	3
human3_lib4.final_cell_0898	beta	4
human3_lib4.final_cell_0899	alpha	3
human4_lib1.final_cell_0001	ductal	6
human4_lib1.final_cell_0002	delta	5
human4_lib1.final_cell_0003	delta	5
human4_lib1.final_cell_0004	ductal	6
human4_lib1.final_cell_0005	ductal	6
human4_lib1.final_cell_0006	ductal	6
human4_lib1.final_cell_0007	ductal	6
human4_lib1.final_cell_0008	alpha	3
human4_lib1.final_cell_0009	ductal	6
human4_lib1.final_cell_0010	ductal	6
human4_lib1.final_cell_0011	alpha	3
human4_lib1.final_cell_0012	ductal	6
human4_lib1.final_cell_0013	ductal	6
human4_lib1.final_cell_0014	ductal	6
human4_lib1.final_cell_0015	delta	5
human4_lib1.final_cell_0016	activated_stellate	2
human4_lib1.final_cell_0017	beta	4
human4_lib1.final_cell_0018	ductal	6
human4_lib1.final_cell_0019	ductal	6
human4_lib1.final_cell_0020	beta	4
human4_lib1.final_cell_0021	beta	4
human4_lib1.final_cell_0022	delta	5
human4_lib1.final_cell_0023	ductal	6
human4_lib1.final_cell_0024	delta	5
human4_lib1.final_cell_0025	alpha	3
human4_lib1.final_cell_0026	beta	4
human4_lib1.final_cell_0027	beta	4
human4_lib1.final_cell_0028	delta	5
human4_lib1.final_cell_0029	ductal	6
human4_lib1.final_cell_0030	activated_stellate	2
human4_lib1.final_cell_0031	ductal	6
human4_lib1.final_cell_0032	ductal	6
human4_lib1.final_cell_0033	ductal	6
human4_lib1.final_cell_0034	beta	4
human4_lib1.final_cell_0035	macrophage	10
human4_lib1.final_cell_0036	alpha	3
human4_lib1.final_cell_0037	beta	4
human4_lib1.final_cell_0038	beta	4
human4_lib1.final_cell_0039	alpha	3
human4_lib1.final_cell_0040	ductal	6
human4_lib1.final_cell_0041	beta	4
human4_lib1.final_cell_0042	beta	4
human4_lib1.final_cell_0043	alpha	3
human4_lib1.final_cell_0044	ductal	6
human4_lib1.final_cell_0045	ductal	6
human4_lib1.final_cell_0046	beta	4
human4_lib1.final_cell_0047	beta	4
human4_lib1.final_cell_0048	alpha	3
human4_lib1.final_cell_0049	beta	4
human4_lib1.final_cell_0050	alpha	3
human4_lib1.final_cell_0051	beta	4
human4_lib1.final_cell_0052	ductal	6
human4_lib1.final_cell_0053	beta	4
human4_lib1.final_cell_0054	ductal	6
human4_lib1.final_cell_0055	alpha	3
human4_lib1.final_cell_0056	beta	4
human4_lib1.final_cell_0057	delta	5
human4_lib1.final_cell_0058	beta	4
human4_lib1.final_cell_0059	beta	4
human4_lib1.final_cell_0060	ductal	6
human4_lib1.final_cell_0061	beta	4
human4_lib1.final_cell_0062	ductal	6
human4_lib1.final_cell_0063	beta	4
human4_lib1.final_cell_0064	ductal	6
human4_lib1.final_cell_0065	ductal	6
human4_lib1.final_cell_0066	activated_stellate	2
human4_lib1.final_cell_0067	alpha	3
human4_lib1.final_cell_0068	alpha	3
human4_lib1.final_cell_0069	delta	5
human4_lib1.final_cell_0070	activated_stellate	2
human4_lib1.final_cell_0071	activated_stellate	2
human4_lib1.final_cell_0072	beta	4
human4_lib1.final_cell_0073	activated_stellate	2
human4_lib1.final_cell_0074	alpha	3
human4_lib1.final_cell_0075	beta	4
human4_lib1.final_cell_0076	ductal	6
human4_lib1.final_cell_0077	quiescent_stellate	12
human4_lib1.final_cell_0078	beta	4
human4_lib1.final_cell_0079	ductal	6
human4_lib1.final_cell_0080	beta	4
human4_lib1.final_cell_0081	beta	4
human4_lib1.final_cell_0082	activated_stellate	2
human4_lib1.final_cell_0083	delta	5
human4_lib1.final_cell_0084	beta	4
human4_lib1.final_cell_0085	beta	4
human4_lib1.final_cell_0086	beta	4
human4_lib1.final_cell_0087	beta	4
human4_lib1.final_cell_0088	delta	5
human4_lib1.final_cell_0089	beta	4
human4_lib1.final_cell_0090	delta	5
human4_lib1.final_cell_0091	alpha	3
human4_lib1.final_cell_0092	ductal	6
human4_lib1.final_cell_0093	alpha	3
human4_lib1.final_cell_0094	alpha	3
human4_lib1.final_cell_0095	alpha	3
human4_lib1.final_cell_0096	macrophage	10
human4_lib1.final_cell_0097	delta	5
human4_lib1.final_cell_0098	ductal	6
human4_lib1.final_cell_0099	ductal	6
human4_lib1.final_cell_0100	beta	4
human4_lib1.final_cell_0101	ductal	6
human4_lib1.final_cell_0102	beta	4
human4_lib1.final_cell_0103	beta	4
human4_lib1.final_cell_0104	alpha	3
human4_lib1.final_cell_0105	beta	4
human4_lib1.final_cell_0106	delta	5
human4_lib1.final_cell_0107	alpha	3
human4_lib1.final_cell_0108	alpha	3
human4_lib1.final_cell_0109	delta	5
human4_lib1.final_cell_0110	beta	4
human4_lib1.final_cell_0111	ductal	6
human4_lib1.final_cell_0112	beta	4
human4_lib1.final_cell_0113	beta	4
human4_lib1.final_cell_0114	delta	5
human4_lib1.final_cell_0115	acinar	1
human4_lib1.final_cell_0116	ductal	6
human4_lib1.final_cell_0117	alpha	3
human4_lib1.final_cell_0118	ductal	6
human4_lib1.final_cell_0119	ductal	6
human4_lib1.final_cell_0120	beta	4
human4_lib1.final_cell_0121	beta	4
human4_lib1.final_cell_0122	gamma	9
human4_lib1.final_cell_0123	alpha	3
human4_lib1.final_cell_0124	beta	4
human4_lib1.final_cell_0125	beta	4
human4_lib1.final_cell_0126	beta	4
human4_lib1.final_cell_0127	ductal	6
human4_lib1.final_cell_0128	activated_stellate	2
human4_lib1.final_cell_0129	delta	5
human4_lib1.final_cell_0130	beta	4
human4_lib1.final_cell_0131	ductal	6
human4_lib1.final_cell_0132	beta	4
human4_lib1.final_cell_0133	ductal	6
human4_lib1.final_cell_0134	ductal	6
human4_lib1.final_cell_0135	beta	4
human4_lib1.final_cell_0136	alpha	3
human4_lib1.final_cell_0137	ductal	6
human4_lib1.final_cell_0138	delta	5
human4_lib1.final_cell_0139	beta	4
human4_lib1.final_cell_0140	delta	5
human4_lib1.final_cell_0141	delta	5
human4_lib1.final_cell_0142	alpha	3
human4_lib1.final_cell_0143	alpha	3
human4_lib1.final_cell_0144	ductal	6
human4_lib1.final_cell_0145	macrophage	10
human4_lib1.final_cell_0146	alpha	3
human4_lib1.final_cell_0147	ductal	6
human4_lib1.final_cell_0148	ductal	6
human4_lib1.final_cell_0149	ductal	6
human4_lib1.final_cell_0150	beta	4
human4_lib1.final_cell_0151	beta	4
human4_lib1.final_cell_0152	alpha	3
human4_lib1.final_cell_0153	beta	4
human4_lib1.final_cell_0154	alpha	3
human4_lib1.final_cell_0155	beta	4
human4_lib1.final_cell_0156	beta	4
human4_lib1.final_cell_0157	ductal	6
human4_lib1.final_cell_0158	ductal	6
human4_lib1.final_cell_0159	beta	4
human4_lib1.final_cell_0160	beta	4
human4_lib1.final_cell_0161	alpha	3
human4_lib1.final_cell_0162	alpha	3
human4_lib1.final_cell_0163	beta	4
human4_lib1.final_cell_0164	beta	4
human4_lib1.final_cell_0165	alpha	3
human4_lib1.final_cell_0166	beta	4
human4_lib1.final_cell_0167	beta	4
human4_lib1.final_cell_0168	alpha	3
human4_lib1.final_cell_0169	delta	5
human4_lib1.final_cell_0170	beta	4
human4_lib1.final_cell_0171	alpha	3
human4_lib1.final_cell_0172	beta	4
human4_lib1.final_cell_0173	beta	4
human4_lib1.final_cell_0174	beta	4
human4_lib1.final_cell_0175	beta	4
human4_lib1.final_cell_0176	delta	5
human4_lib1.final_cell_0177	beta	4
human4_lib1.final_cell_0178	ductal	6
human4_lib1.final_cell_0179	gamma	9
human4_lib1.final_cell_0180	delta	5
human4_lib1.final_cell_0181	ductal	6
human4_lib1.final_cell_0182	alpha	3
human4_lib1.final_cell_0183	ductal	6
human4_lib1.final_cell_0184	alpha	3
human4_lib1.final_cell_0185	alpha	3
human4_lib1.final_cell_0186	delta	5
human4_lib1.final_cell_0187	alpha	3
human4_lib1.final_cell_0188	beta	4
human4_lib1.final_cell_0189	delta	5
human4_lib1.final_cell_0190	alpha	3
human4_lib1.final_cell_0191	alpha	3
human4_lib1.final_cell_0192	delta	5
human4_lib1.final_cell_0193	beta	4
human4_lib1.final_cell_0194	beta	4
human4_lib1.final_cell_0195	alpha	3
human4_lib1.final_cell_0196	gamma	9
human4_lib1.final_cell_0197	beta	4
human4_lib1.final_cell_0198	beta	4
human4_lib1.final_cell_0199	gamma	9
human4_lib1.final_cell_0200	delta	5
human4_lib1.final_cell_0201	ductal	6
human4_lib1.final_cell_0202	beta	4
human4_lib1.final_cell_0203	alpha	3
human4_lib1.final_cell_0204	delta	5
human4_lib1.final_cell_0205	beta	4
human4_lib1.final_cell_0206	beta	4
human4_lib1.final_cell_0207	alpha	3
human4_lib1.final_cell_0208	ductal	6
human4_lib1.final_cell_0209	ductal	6
human4_lib1.final_cell_0210	beta	4
human4_lib1.final_cell_0211	alpha	3
human4_lib1.final_cell_0212	ductal	6
human4_lib1.final_cell_0213	activated_stellate	2
human4_lib1.final_cell_0214	alpha	3
human4_lib1.final_cell_0215	beta	4
human4_lib1.final_cell_0216	alpha	3
human4_lib1.final_cell_0217	ductal	6
human4_lib1.final_cell_0218	beta	4
human4_lib1.final_cell_0219	beta	4
human4_lib1.final_cell_0220	ductal	6
human4_lib1.final_cell_0221	beta	4
human4_lib1.final_cell_0222	beta	4
human4_lib1.final_cell_0223	ductal	6
human4_lib1.final_cell_0224	beta	4
human4_lib1.final_cell_0225	beta	4
human4_lib1.final_cell_0226	beta	4
human4_lib1.final_cell_0227	beta	4
human4_lib1.final_cell_0228	alpha	3
human4_lib1.final_cell_0229	delta	5
human4_lib1.final_cell_0230	alpha	3
human4_lib1.final_cell_0231	macrophage	10
human4_lib1.final_cell_0232	alpha	3
human4_lib1.final_cell_0233	alpha	3
human4_lib1.final_cell_0234	beta	4
human4_lib1.final_cell_0235	activated_stellate	2
human4_lib1.final_cell_0236	beta	4
human4_lib1.final_cell_0237	beta	4
human4_lib1.final_cell_0238	ductal	6
human4_lib1.final_cell_0239	ductal	6
human4_lib1.final_cell_0240	gamma	9
human4_lib1.final_cell_0241	beta	4
human4_lib1.final_cell_0242	ductal	6
human4_lib1.final_cell_0243	beta	4
human4_lib1.final_cell_0244	beta	4
human4_lib1.final_cell_0245	beta	4
human4_lib1.final_cell_0246	beta	4
human4_lib1.final_cell_0247	beta	4
human4_lib1.final_cell_0248	alpha	3
human4_lib1.final_cell_0249	delta	5
human4_lib1.final_cell_0250	alpha	3
human4_lib1.final_cell_0251	ductal	6
human4_lib1.final_cell_0252	ductal	6
human4_lib1.final_cell_0253	beta	4
human4_lib1.final_cell_0254	alpha	3
human4_lib1.final_cell_0255	alpha	3
human4_lib1.final_cell_0256	ductal	6
human4_lib1.final_cell_0257	ductal	6
human4_lib1.final_cell_0258	alpha	3
human4_lib1.final_cell_0259	alpha	3
human4_lib1.final_cell_0260	ductal	6
human4_lib1.final_cell_0261	beta	4
human4_lib1.final_cell_0262	beta	4
human4_lib1.final_cell_0263	alpha	3
human4_lib1.final_cell_0264	ductal	6
human4_lib1.final_cell_0265	gamma	9
human4_lib1.final_cell_0266	beta	4
human4_lib1.final_cell_0267	delta	5
human4_lib1.final_cell_0268	gamma	9
human4_lib1.final_cell_0269	beta	4
human4_lib1.final_cell_0270	ductal	6
human4_lib1.final_cell_0271	ductal	6
human4_lib1.final_cell_0272	beta	4
human4_lib1.final_cell_0273	ductal	6
human4_lib1.final_cell_0274	beta	4
human4_lib1.final_cell_0275	alpha	3
human4_lib1.final_cell_0276	beta	4
human4_lib1.final_cell_0277	beta	4
human4_lib1.final_cell_0278	beta	4
human4_lib1.final_cell_0279	alpha	3
human4_lib1.final_cell_0280	beta	4
human4_lib1.final_cell_0281	alpha	3
human4_lib1.final_cell_0282	beta	4
human4_lib1.final_cell_0283	beta	4
human4_lib1.final_cell_0284	alpha	3
human4_lib1.final_cell_0285	ductal	6
human4_lib1.final_cell_0286	alpha	3
human4_lib1.final_cell_0287	ductal	6
human4_lib1.final_cell_0288	beta	4
human4_lib1.final_cell_0289	alpha	3
human4_lib1.final_cell_0290	beta	4
human4_lib1.final_cell_0291	beta	4
human4_lib1.final_cell_0292	beta	4
human4_lib1.final_cell_0293	beta	4
human4_lib1.final_cell_0294	alpha	3
human4_lib1.final_cell_0295	macrophage	10
human4_lib1.final_cell_0296	alpha	3
human4_lib1.final_cell_0297	delta	5
human4_lib1.final_cell_0298	gamma	9
human4_lib1.final_cell_0299	beta	4
human4_lib1.final_cell_0300	beta	4
human4_lib1.final_cell_0301	delta	5
human4_lib1.final_cell_0302	ductal	6
human4_lib1.final_cell_0303	ductal	6
human4_lib1.final_cell_0304	beta	4
human4_lib1.final_cell_0305	beta	4
human4_lib1.final_cell_0306	alpha	3
human4_lib1.final_cell_0307	beta	4
human4_lib1.final_cell_0308	alpha	3
human4_lib1.final_cell_0309	activated_stellate	2
human4_lib1.final_cell_0310	alpha	3
human4_lib1.final_cell_0311	gamma	9
human4_lib1.final_cell_0312	delta	5
human4_lib1.final_cell_0313	beta	4
human4_lib1.final_cell_0314	alpha	3
human4_lib1.final_cell_0315	alpha	3
human4_lib1.final_cell_0316	beta	4
human4_lib1.final_cell_0317	delta	5
human4_lib1.final_cell_0318	delta	5
human4_lib1.final_cell_0319	delta	5
human4_lib1.final_cell_0320	alpha	3
human4_lib1.final_cell_0321	beta	4
human4_lib1.final_cell_0322	beta	4
human4_lib1.final_cell_0323	activated_stellate	2
human4_lib1.final_cell_0324	ductal	6
human4_lib1.final_cell_0325	beta	4
human4_lib1.final_cell_0326	epsilon	8
human4_lib1.final_cell_0327	alpha	3
human4_lib1.final_cell_0328	gamma	9
human4_lib1.final_cell_0329	gamma	9
human4_lib1.final_cell_0330	beta	4
human4_lib1.final_cell_0331	gamma	9
human4_lib1.final_cell_0332	alpha	3
human4_lib1.final_cell_0333	alpha	3
human4_lib1.final_cell_0334	beta	4
human4_lib1.final_cell_0335	alpha	3
human4_lib1.final_cell_0336	ductal	6
human4_lib1.final_cell_0337	delta	5
human4_lib1.final_cell_0338	alpha	3
human4_lib1.final_cell_0339	beta	4
human4_lib1.final_cell_0340	beta	4
human4_lib1.final_cell_0341	alpha	3
human4_lib1.final_cell_0342	beta	4
human4_lib1.final_cell_0343	ductal	6
human4_lib1.final_cell_0344	alpha	3
human4_lib1.final_cell_0345	alpha	3
human4_lib1.final_cell_0346	ductal	6
human4_lib1.final_cell_0347	delta	5
human4_lib1.final_cell_0348	beta	4
human4_lib1.final_cell_0349	macrophage	10
human4_lib1.final_cell_0350	alpha	3
human4_lib1.final_cell_0351	ductal	6
human4_lib1.final_cell_0352	beta	4
human4_lib1.final_cell_0353	alpha	3
human4_lib1.final_cell_0354	activated_stellate	2
human4_lib1.final_cell_0355	ductal	6
human4_lib1.final_cell_0356	beta	4
human4_lib1.final_cell_0357	alpha	3
human4_lib1.final_cell_0358	beta	4
human4_lib1.final_cell_0359	beta	4
human4_lib1.final_cell_0360	ductal	6
human4_lib1.final_cell_0361	endothelial	7
human4_lib1.final_cell_0362	ductal	6
human4_lib1.final_cell_0363	alpha	3
human4_lib1.final_cell_0364	ductal	6
human4_lib1.final_cell_0365	gamma	9
human4_lib1.final_cell_0366	beta	4
human4_lib1.final_cell_0367	activated_stellate	2
human4_lib1.final_cell_0368	beta	4
human4_lib1.final_cell_0369	alpha	3
human4_lib1.final_cell_0370	alpha	3
human4_lib1.final_cell_0371	activated_stellate	2
human4_lib1.final_cell_0372	ductal	6
human4_lib1.final_cell_0373	alpha	3
human4_lib1.final_cell_0374	beta	4
human4_lib1.final_cell_0375	beta	4
human4_lib1.final_cell_0376	alpha	3
human4_lib1.final_cell_0377	delta	5
human4_lib1.final_cell_0378	beta	4
human4_lib1.final_cell_0379	ductal	6
human4_lib1.final_cell_0380	beta	4
human4_lib1.final_cell_0381	beta	4
human4_lib1.final_cell_0382	beta	4
human4_lib1.final_cell_0383	beta	4
human4_lib1.final_cell_0384	alpha	3
human4_lib1.final_cell_0385	beta	4
human4_lib1.final_cell_0386	alpha	3
human4_lib1.final_cell_0387	delta	5
human4_lib1.final_cell_0388	gamma	9
human4_lib1.final_cell_0389	beta	4
human4_lib1.final_cell_0390	beta	4
human4_lib1.final_cell_0391	alpha	3
human4_lib1.final_cell_0392	alpha	3
human4_lib1.final_cell_0393	delta	5
human4_lib1.final_cell_0394	alpha	3
human4_lib1.final_cell_0395	gamma	9
human4_lib1.final_cell_0396	beta	4
human4_lib1.final_cell_0397	beta	4
human4_lib1.final_cell_0398	beta	4
human4_lib1.final_cell_0399	ductal	6
human4_lib1.final_cell_0400	activated_stellate	2
human4_lib1.final_cell_0401	beta	4
human4_lib1.final_cell_0402	ductal	6
human4_lib1.final_cell_0403	beta	4
human4_lib1.final_cell_0404	beta	4
human4_lib1.final_cell_0405	beta	4
human4_lib1.final_cell_0406	delta	5
human4_lib1.final_cell_0407	beta	4
human4_lib1.final_cell_0408	alpha	3
human4_lib1.final_cell_0409	beta	4
human4_lib1.final_cell_0410	beta	4
human4_lib1.final_cell_0411	beta	4
human4_lib1.final_cell_0412	beta	4
human4_lib1.final_cell_0413	ductal	6
human4_lib1.final_cell_0414	beta	4
human4_lib1.final_cell_0415	beta	4
human4_lib1.final_cell_0416	alpha	3
human4_lib1.final_cell_0417	beta	4
human4_lib1.final_cell_0418	beta	4
human4_lib1.final_cell_0419	delta	5
human4_lib1.final_cell_0420	ductal	6
human4_lib1.final_cell_0421	alpha	3
human4_lib1.final_cell_0422	ductal	6
human4_lib1.final_cell_0423	beta	4
human4_lib1.final_cell_0424	alpha	3
human4_lib1.final_cell_0425	endothelial	7
human4_lib1.final_cell_0426	beta	4
human4_lib1.final_cell_0427	beta	4
human4_lib1.final_cell_0428	alpha	3
human4_lib1.final_cell_0429	beta	4
human4_lib1.final_cell_0430	beta	4
human4_lib1.final_cell_0431	beta	4
human4_lib1.final_cell_0432	beta	4
human4_lib1.final_cell_0433	beta	4
human4_lib1.final_cell_0434	beta	4
human4_lib1.final_cell_0435	alpha	3
human4_lib1.final_cell_0436	beta	4
human4_lib1.final_cell_0437	beta	4
human4_lib1.final_cell_0438	ductal	6
human4_lib1.final_cell_0439	ductal	6
human4_lib1.final_cell_0440	activated_stellate	2
human4_lib1.final_cell_0441	alpha	3
human4_lib1.final_cell_0442	alpha	3
human4_lib1.final_cell_0443	alpha	3
human4_lib1.final_cell_0444	beta	4
human4_lib1.final_cell_0445	beta	4
human4_lib1.final_cell_0446	ductal	6
human4_lib1.final_cell_0447	activated_stellate	2
human4_lib1.final_cell_0448	alpha	3
human4_lib1.final_cell_0449	gamma	9
human4_lib1.final_cell_0450	quiescent_stellate	12
human4_lib1.final_cell_0451	beta	4
human4_lib1.final_cell_0452	ductal	6
human4_lib1.final_cell_0453	delta	5
human4_lib1.final_cell_0454	beta	4
human4_lib1.final_cell_0455	ductal	6
human4_lib1.final_cell_0456	beta	4
human4_lib1.final_cell_0457	alpha	3
human4_lib1.final_cell_0458	gamma	9
human4_lib1.final_cell_0459	beta	4
human4_lib1.final_cell_0460	alpha	3
human4_lib1.final_cell_0461	beta	4
human4_lib1.final_cell_0462	ductal	6
human4_lib1.final_cell_0463	beta	4
human4_lib1.final_cell_0464	gamma	9
human4_lib1.final_cell_0465	beta	4
human4_lib1.final_cell_0466	ductal	6
human4_lib1.final_cell_0467	beta	4
human4_lib1.final_cell_0468	ductal	6
human4_lib1.final_cell_0469	ductal	6
human4_lib1.final_cell_0470	gamma	9
human4_lib1.final_cell_0471	activated_stellate	2
human4_lib1.final_cell_0472	alpha	3
human4_lib1.final_cell_0473	alpha	3
human4_lib1.final_cell_0474	beta	4
human4_lib1.final_cell_0475	beta	4
human4_lib1.final_cell_0476	beta	4
human4_lib1.final_cell_0477	alpha	3
human4_lib1.final_cell_0478	beta	4
human4_lib1.final_cell_0479	alpha	3
human4_lib1.final_cell_0480	alpha	3
human4_lib1.final_cell_0481	alpha	3
human4_lib1.final_cell_0482	beta	4
human4_lib1.final_cell_0483	alpha	3
human4_lib1.final_cell_0484	gamma	9
human4_lib1.final_cell_0485	endothelial	7
human4_lib1.final_cell_0486	beta	4
human4_lib1.final_cell_0487	alpha	3
human4_lib1.final_cell_0488	gamma	9
human4_lib1.final_cell_0489	beta	4
human4_lib1.final_cell_0490	beta	4
human4_lib1.final_cell_0491	beta	4
human4_lib1.final_cell_0492	ductal	6
human4_lib1.final_cell_0493	activated_stellate	2
human4_lib1.final_cell_0494	delta	5
human4_lib1.final_cell_0495	activated_stellate	2
human4_lib1.final_cell_0496	ductal	6
human4_lib1.final_cell_0497	beta	4
human4_lib1.final_cell_0498	alpha	3
human4_lib1.final_cell_0499	beta	4
human4_lib1.final_cell_0500	beta	4
human4_lib1.final_cell_0501	beta	4
human4_lib1.final_cell_0502	beta	4
human4_lib1.final_cell_0503	beta	4
human4_lib1.final_cell_0504	beta	4
human4_lib1.final_cell_0505	gamma	9
human4_lib1.final_cell_0506	activated_stellate	2
human4_lib1.final_cell_0507	ductal	6
human4_lib1.final_cell_0508	alpha	3
human4_lib1.final_cell_0509	beta	4
human4_lib1.final_cell_0510	beta	4
human4_lib1.final_cell_0511	alpha	3
human4_lib1.final_cell_0512	beta	4
human4_lib1.final_cell_0513	beta	4
human4_lib1.final_cell_0514	beta	4
human4_lib1.final_cell_0515	beta	4
human4_lib1.final_cell_0516	beta	4
human4_lib1.final_cell_0517	gamma	9
human4_lib1.final_cell_0518	alpha	3
human4_lib1.final_cell_0519	alpha	3
human4_lib1.final_cell_0520	ductal	6
human4_lib1.final_cell_0521	beta	4
human4_lib1.final_cell_0522	beta	4
human4_lib1.final_cell_0523	beta	4
human4_lib1.final_cell_0524	beta	4
human4_lib1.final_cell_0525	beta	4
human4_lib1.final_cell_0526	ductal	6
human4_lib1.final_cell_0527	beta	4
human4_lib1.final_cell_0528	ductal	6
human4_lib1.final_cell_0529	beta	4
human4_lib1.final_cell_0530	delta	5
human4_lib1.final_cell_0531	beta	4
human4_lib1.final_cell_0532	beta	4
human4_lib1.final_cell_0533	delta	5
human4_lib1.final_cell_0534	ductal	6
human4_lib1.final_cell_0535	beta	4
human4_lib1.final_cell_0536	alpha	3
human4_lib1.final_cell_0537	beta	4
human4_lib1.final_cell_0538	beta	4
human4_lib1.final_cell_0539	beta	4
human4_lib1.final_cell_0540	ductal	6
human4_lib1.final_cell_0541	alpha	3
human4_lib1.final_cell_0542	beta	4
human4_lib1.final_cell_0543	beta	4
human4_lib1.final_cell_0544	ductal	6
human4_lib1.final_cell_0545	alpha	3
human4_lib1.final_cell_0546	beta	4
human4_lib1.final_cell_0547	alpha	3
human4_lib1.final_cell_0548	activated_stellate	2
human4_lib1.final_cell_0549	activated_stellate	2
human4_lib1.final_cell_0550	delta	5
human4_lib1.final_cell_0551	beta	4
human4_lib1.final_cell_0552	beta	4
human4_lib1.final_cell_0553	beta	4
human4_lib1.final_cell_0554	ductal	6
human4_lib1.final_cell_0555	beta	4
human4_lib1.final_cell_0556	ductal	6
human4_lib1.final_cell_0557	beta	4
human4_lib1.final_cell_0558	alpha	3
human4_lib1.final_cell_0559	ductal	6
human4_lib1.final_cell_0560	alpha	3
human4_lib1.final_cell_0561	gamma	9
human4_lib1.final_cell_0562	alpha	3
human4_lib1.final_cell_0563	beta	4
human4_lib1.final_cell_0564	ductal	6
human4_lib1.final_cell_0565	beta	4
human4_lib1.final_cell_0566	ductal	6
human4_lib1.final_cell_0567	beta	4
human4_lib1.final_cell_0568	t_cell	14
human4_lib1.final_cell_0569	alpha	3
human4_lib1.final_cell_0570	gamma	9
human4_lib1.final_cell_0571	delta	5
human4_lib1.final_cell_0572	endothelial	7
human4_lib1.final_cell_0573	alpha	3
human4_lib1.final_cell_0574	alpha	3
human4_lib1.final_cell_0575	gamma	9
human4_lib1.final_cell_0576	beta	4
human4_lib1.final_cell_0577	beta	4
human4_lib1.final_cell_0578	quiescent_stellate	12
human4_lib1.final_cell_0579	macrophage	10
human4_lib1.final_cell_0580	gamma	9
human4_lib1.final_cell_0581	alpha	3
human4_lib1.final_cell_0582	beta	4
human4_lib1.final_cell_0583	beta	4
human4_lib1.final_cell_0584	ductal	6
human4_lib1.final_cell_0585	ductal	6
human4_lib1.final_cell_0586	beta	4
